median_mvt_ms,mvt_err_upper,peak_amplitude,sigma,mvt_err_lower
-100.0,0.0,0.2,0.1,0.0
0.292,0.099,20.0,0.1,0.0883
-100.0,0.0,2.0,0.1,0.0
-100.0,0.0,0.1,0.1,0.0
-100.0,0.0,0.5,0.1,0.0
-100.0,0.0,5.0,0.1,0.0
-100.0,0.0,0.3,0.1,0.0
-100.0,0.0,3.0,0.1,0.0
-100.0,0.0,1.0,0.1,0.0
0.329,0.1809,10.0,0.1,0.0544
0.2285,0.0515,50.0,0.1,0.0643
0.173,0.0409,100.0,0.1,0.0334
0.146,0.0469,200.0,0.1,0.0268
0.142,0.027,300.0,0.1,0.0254
-100.0,0.0,0.2,0.3,0.0
-100.0,0.0,0.3,0.3,0.0
2.458,0.085,2.0,0.3,0.085
0.788,0.5648,10.0,0.3,0.227
-100.0,0.0,0.5,0.3,0.0
1.176,1.3232,5.0,0.3,0.4305
1.705,1.2845,3.0,0.3,0.8004
-100.0,0.0,1.0,0.3,0.0
-100.0,0.0,0.1,0.3,0.0
0.606,0.1932,20.0,0.3,0.1342
0.123,0.0229,500.0,0.1,0.0209
0.122,0.003,1000.0,0.1,0.019
0.406,0.079,100.0,0.3,0.1064
0.478,0.097,50.0,0.3,0.0829
0.351,0.063,200.0,0.3,0.067
0.342,0.014,300.0,0.3,0.06
6.891,0.4236,0.2,0.5,0.4236
0.294,0.053,500.0,0.3,0.05
0.926,0.2052,20.0,0.5,0.2374
6.849,0.3985,0.1,0.5,0.3985
6.294,0.8541,0.5,0.5,1.1172
1.1105,0.2985,10.0,0.5,0.3197
5.655,2.2924,2.0,0.5,3.6978
6.569,0.7079,1.0,0.5,1.7938
3.159,4.4337,3.0,0.5,1.3233
1.7035,2.4153,5.0,0.5,0.7271
7.525,1.1172,0.3,0.5,0.8493
0.291,0.007,1000.0,0.3,0.047
0.585,0.1104,100.0,0.5,0.1612
0.69,0.127,50.0,0.5,0.122
0.496,0.091,200.0,0.5,0.0918
0.491,0.058,300.0,0.5,0.084
0.461,0.037,500.0,0.5,0.113
0.413,0.049,1000.0,0.5,0.0737
0.107,0.017,2000.0,0.1,0.003
0.107,0.001,5000.0,0.1,0.002
0.107,0.001,7000.0,0.1,0.001
0.107,0.016,3000.0,0.1,0.002
0.275,0.018,3000.0,0.3,0.027
0.275,0.018,5000.0,0.3,0.026
0.2825,0.0105,7000.0,0.3,0.0095
0.29,0.004,2000.0,0.3,0.043
0.411,0.0045,3000.0,0.5,0.066
0.411,0.003,5000.0,0.5,0.0632
0.411,0.003,7000.0,0.5,0.003
0.412,0.006,2000.0,0.5,0.069
1.044,0.1843,100.0,1.0,0.1843
1.5205,0.2664,20.0,1.0,0.3397
4.918,2.4534,2.0,1.0,2.5038
0.874,0.096,500.0,1.0,0.136
0.969,0.079,200.0,1.0,0.1194
0.878,0.157,300.0,1.0,0.1396
2.367,1.183,5.0,1.0,0.6801
12.846,4.5678,0.5,1.0,2.1404
9.946,6.173,1.0,1.0,7.656
1.2175,0.2335,50.0,1.0,0.2806
9.858,6.6761,0.1,1.0,1.2308
3.389,6.0484,3.0,1.0,1.3734
9.862,4.5046,0.2,1.0,1.1783
1.801,0.5486,10.0,1.0,0.403
14.787,2.9411,0.3,1.0,4.9088
0.875,0.092,1000.0,1.0,0.014
2.436,0.034,300.0,3.0,0.426
5.959,3.5718,3.0,3.0,1.8293
34.573,7.2589,0.2,3.0,7.7222
2.485,0.4505,100.0,3.0,0.4771
3.448,0.6642,20.0,3.0,0.9657
2.081,0.371,500.0,3.0,0.0572
2.445,0.288,200.0,3.0,0.4407
4.069,0.79,10.0,3.0,1.135
22.7605,15.5941,0.5,3.0,5.2567
15.945,22.5122,1.0,3.0,9.6492
30.2885,11.4217,0.3,3.0,7.736
2.9,0.3553,50.0,3.0,0.6459
4.881,1.8312,5.0,3.0,1.375
31.619,7.716,0.1,3.0,4.8887
8.155,11.5492,2.0,3.0,3.1222
2.063,0.3794,1000.0,3.0,0.03
0.874,0.0082,2000.0,1.0,0.007
0.875,0.005,3000.0,1.0,0.0062
0.876,0.003,5000.0,1.0,0.005
2.062,0.372,5000.0,3.0,0.006
2.061,0.375,3000.0,3.0,0.009
2.061,0.376,2000.0,3.0,0.013
12.066,2.5378,5.0,10.0,3.6751
7.283,0.023,1000.0,10.0,0.03
59.4905,40.3955,0.5,10.0,25.6114
32.979,44.2278,1.0,10.0,13.3336
7.3505,1.3165,100.0,10.0,0.2086
8.3105,0.4583,50.0,10.0,3.944
10.313,1.9017,10.0,10.0,2.9081
17.576,6.9284,2.0,10.0,5.3243
7.2755,0.0386,500.0,10.0,0.0535
56.245,101.0885,0.1,10.0,35.748
14.47,5.2486,3.0,10.0,4.1014
8.731,1.6748,20.0,10.0,2.5259
56.167,84.6271,0.2,10.0,26.4474
7.301,1.306,200.0,10.0,0.126
7.276,0.0573,300.0,10.0,0.082
39.922,95.728,0.3,10.0,14.3198
140.879,133.6095,0.3,30.0,69.5466
29.922,4.3419,5.0,30.0,11.4875
118.4595,142.2602,0.2,30.0,33.6467
31.25,6.9634,3.0,30.0,7.1711
244.012,123.0888,0.1,30.0,134.5116
41.477,9.2242,2.0,30.0,15.1944
25.534,0.4776,20.0,30.0,7.7829
21.746,2.278,500.0,30.0,0.061
21.742,3.801,100.0,30.0,0.288
116.6375,121.4737,0.5,30.0,58.9977
60.039,24.272,1.0,30.0,22.75
21.7345,2.2905,300.0,30.0,0.086
25.6755,4.8195,10.0,30.0,8.0715
21.862,3.81,50.0,30.0,0.5039
21.724,2.3028,200.0,30.0,0.1319
87.012,17.0181,3.0,100.0,17.6966
73.216,13.2584,10.0,100.0,13.0506
334.8945,423.9963,0.3,100.0,147.9033
85.766,10.2527,5.0,100.0,16.6533
72.698,0.1429,200.0,100.0,0.1678
511.507,647.451,0.2,100.0,338.9542
1005.614,381.5848,0.1,100.0,815.6322
72.616,0.4214,50.0,100.0,0.5208
140.523,28.7395,1.0,100.0,40.2214
102.24,19.7858,2.0,100.0,31.994
72.696,0.1093,300.0,100.0,0.1158
72.692,0.237,100.0,100.0,0.2901
203.81,81.7667,0.5,100.0,60.838
72.6965,13.2816,20.0,100.0,12.8013
72.723,0.0825,500.0,100.0,0.0975
21.755,0.0362,1000.0,30.0,0.035
72.745,0.0571,1000.0,100.0,0.0581
442.5395,147.2451,0.5,300.0,125.7481
256.751,46.7997,2.0,300.0,69.7457
305.0575,69.1363,1.0,300.0,88.7737
597.563,254.4864,0.3,300.0,227.9008
2419.301,1186.0934,0.1,300.0,1241.1468
1097.5185,1156.4376,0.2,300.0,496.2172
254.32,5.2366,3.0,300.0,43.88
217.059,37.6768,20.0,300.0,1.3374
253.739,2.7895,5.0,300.0,40.6698
217.175,0.5218,50.0,300.0,0.5746
217.162,0.4668,100.0,300.0,0.3748
217.932,37.5054,10.0,300.0,3.9008
217.196,0.196,200.0,300.0,0.2629
217.23,0.1532,300.0,300.0,0.181
217.247,0.1382,500.0,300.0,0.145
851.407,7.5221,3.0,1000.0,138.5403
1428.533,356.4586,0.3,1000.0,426.7929
3417.069,3713.8692,0.1,1000.0,1132.8634
863.5385,168.8963,1.0,1000.0,319.9784
849.612,13.9712,2.0,1000.0,146.384
1772.154,654.8404,0.2,1000.0,570.1378
727.26,2.3826,10.0,1000.0,3.31
1181.768,219.532,0.5,1000.0,367.061
727.211,129.684,5.0,1000.0,6.804
727.4625,1.4815,20.0,1000.0,1.8578
727.481,0.8096,50.0,1000.0,0.9398
727.623,0.5808,100.0,1000.0,0.7054
727.552,0.3786,200.0,1000.0,0.417
727.591,0.2787,300.0,1000.0,0.3401
727.5705,0.3082,500.0,1000.0,0.2653
217.261,0.0926,1000.0,300.0,0.1156
727.599,0.181,1000.0,1000.0,0.1904
